phrase,severity,category
I took too much highkey asap,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey right now,94,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,90,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it fr asap,99,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it ngl right now,70,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh right now,65,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore highkey asap,90,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here literally soon,81,Threat to others - requires attention based on phrasing and urgency
life ain't worth it ngl asap,83,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here highkey tonight,78,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone literally tonight,87,Threat to others - requires attention based on phrasing and urgency
I took too much idk soon,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here ngl right now,83,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here tbh tonight,73,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey today,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl tonight,72,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh asap,69,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone fr soon,100,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me seriously right now,92,Imminent self-harm - requires attention based on phrasing and urgency
I took too much fr today,61,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore highkey today,84,Passive ideation - requires attention based on phrasing and urgency
I wanna end it tbh tonight,62,Emotional distress - requires attention based on phrasing and urgency
I feel empty lowkey right now,95,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it tbh asap,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty fr tonight,90,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here highkey asap,65,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it idk tonight,65,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore seriously tonight,99,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here ngl soon,93,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore literally today,69,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone fr tonight,60,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore highkey today,78,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything fr asap,74,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me highkey today,51,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything fr asap,69,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here highkey tonight,63,Substance crisis - requires attention based on phrasing and urgency
I feel empty fr today,70,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh right now,68,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it fr today,97,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore seriously tonight,95,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything ngl right now,77,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything literally asap,89,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone fr right now,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything ngl today,99,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything fr asap,100,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,74,Domestic risk - requires attention based on phrasing and urgency
I feel empty fr soon,53,Emotional distress - requires attention based on phrasing and urgency
I wanna end it ngl tonight,95,Threat to others - requires attention based on phrasing and urgency
I wanna end it ngl soon,72,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone fr soon,68,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore highkey right now,62,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here fr soon,82,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here ngl tonight,58,Emotional distress - requires attention based on phrasing and urgency
